Mobjects
Class Name,Module,File Path,Description
FullScreenRectangle,manim.mobject.frame,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/frame.py,"A quadrilateral with two sets of parallel sides.  Parameters ---------- color     The color of the rectangle. height     The vertical height of the rectangle. width     The horizontal width of the rectangle. grid_xstep     Space between vertical grid lines. grid_ystep     Space between horizontal grid lines. mark_paths_closed     No purpose. close_new_points     No purpose. kwargs     Additional arguments to be passed to :class:`Polygon`  Examples ---------- .. manim:: RectangleExample     :save_last_frame:      class RectangleExample(Scene):         def construct(self):             rect1 = Rectangle(width=4.0, height=2.0, grid_xstep=1.0, grid_ystep=0.5)             rect2 = Rectangle(width=1.0, height=4.0)             rect3 = Rectangle(width=2.0, height=2.0, grid_xstep=1.0, grid_ystep=1.0)             rect3.grid_lines.set_stroke(width=1)              rects = Group(rect1, rect2, rect3).arrange(buff=1)             self.add(rects)"
ScreenRectangle,manim.mobject.frame,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/frame.py,"A quadrilateral with two sets of parallel sides.  Parameters ---------- color     The color of the rectangle. height     The vertical height of the rectangle. width     The horizontal width of the rectangle. grid_xstep     Space between vertical grid lines. grid_ystep     Space between horizontal grid lines. mark_paths_closed     No purpose. close_new_points     No purpose. kwargs     Additional arguments to be passed to :class:`Polygon`  Examples ---------- .. manim:: RectangleExample     :save_last_frame:      class RectangleExample(Scene):         def construct(self):             rect1 = Rectangle(width=4.0, height=2.0, grid_xstep=1.0, grid_ystep=0.5)             rect2 = Rectangle(width=1.0, height=4.0)             rect3 = Rectangle(width=2.0, height=2.0, grid_xstep=1.0, grid_ystep=1.0)             rect3.grid_lines.set_stroke(width=1)              rects = Group(rect1, rect2, rect3).arrange(buff=1)             self.add(rects)"
AnnotationDot,manim.mobject.geometry.arc,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/geometry/arc.py,A dot with bigger radius and bold stroke to annotate scenes.
AnnularSector,manim.mobject.geometry.arc,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/geometry/arc.py,"A sector of an annulus.   Parameters ---------- inner_radius    The inside radius of the Annular Sector. outer_radius    The outside radius of the Annular Sector. angle    The clockwise angle of the Annular Sector. start_angle    The starting clockwise angle of the Annular Sector. fill_opacity    The opacity of the color filled in the Annular Sector. stroke_width    The stroke width of the Annular Sector. color    The color filled into the Annular Sector.  Examples -------- .. manim:: AnnularSectorExample     :save_last_frame:      class AnnularSectorExample(Scene):         def construct(self):             # Changes background color to clearly visualize changes in fill_opacity.             self.camera.background_color = WHITE              # The default parameter start_angle is 0, so the AnnularSector starts from the +x-axis.             s1 = AnnularSector(color=YELLOW).move_to(2 * UL)              # Different inner_radius and outer_radius than the default.             s2 = AnnularSector(inner_radius=1.5, outer_radius=2, angle=45 * DEGREES, color=RED).move_to(2 * UR)              # fill_opacity is typically a number > 0 and <= 1. If fill_opacity=0, the AnnularSector is transparent.             s3 = AnnularSector(inner_radius=1, outer_radius=1.5, angle=PI, fill_opacity=0.25, color=BLUE).move_to(2 * DL)              # With a negative value for the angle, the AnnularSector is drawn clockwise from the start value.             s4 = AnnularSector(inner_radius=1, outer_radius=1.5, angle=-3 * PI / 2, color=GREEN).move_to(2 * DR)              self.add(s1, s2, s3, s4)"
Annulus,manim.mobject.geometry.arc,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/geometry/arc.py,"Region between two concentric :class:`Circles <.Circle>`.  Parameters ---------- inner_radius     The radius of the inner :class:`Circle`. outer_radius     The radius of the outer :class:`Circle`. kwargs     Additional arguments to be passed to :class:`Annulus`  Examples -------- .. manim:: AnnulusExample     :save_last_frame:      class AnnulusExample(Scene):         def construct(self):             annulus_1 = Annulus(inner_radius=0.5, outer_radius=1).shift(UP)             annulus_2 = Annulus(inner_radius=0.3, outer_radius=0.6, color=RED).next_to(annulus_1, DOWN)             self.add(annulus_1, annulus_2)"
Arc,manim.mobject.geometry.arc,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/geometry/arc.py,A circular arc.  Examples -------- A simple arc of angle Pi.  .. manim:: ArcExample     :save_last_frame:      class ArcExample(Scene):         def construct(self):             self.add(Arc(angle=PI))
Arc,manim.mobject.geometry.arc,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/geometry/arc.py,A circular arc.  Examples -------- A simple arc of angle Pi.  .. manim:: ArcExample     :save_last_frame:      class ArcExample(Scene):         def construct(self):             self.add(Arc(angle=PI))
Arc,manim.mobject.geometry.arc,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/geometry/arc.py,A circular arc.  Examples -------- A simple arc of angle Pi.  .. manim:: ArcExample     :save_last_frame:      class ArcExample(Scene):         def construct(self):             self.add(Arc(angle=PI))
ArcBetweenPoints,manim.mobject.geometry.arc,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/geometry/arc.py,"Inherits from Arc and additionally takes 2 points between which the arc is spanned.  Example ------- .. manim:: ArcBetweenPointsExample    class ArcBetweenPointsExample(Scene):       def construct(self):           circle = Circle(radius=2, stroke_color=GREY)           dot_1 = Dot(color=GREEN).move_to([2, 0, 0]).scale(0.5)           dot_1_text = Tex(""(2,0)"").scale(0.5).next_to(dot_1, RIGHT).set_color(BLUE)           dot_2 = Dot(color=GREEN).move_to([0, 2, 0]).scale(0.5)           dot_2_text = Tex(""(0,2)"").scale(0.5).next_to(dot_2, UP).set_color(BLUE)           arc= ArcBetweenPoints(start=2 * RIGHT, end=2 * UP, stroke_color=YELLOW)           self.add(circle, dot_1, dot_2, dot_1_text, dot_2_text)           self.play(Create(arc))"
ArcBetweenPoints,manim.mobject.geometry.arc,/Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/manim/mobject/geometry/arc.py,"Inherits from Arc and additionally takes 2 points between which the arc is spanned.  Example ------- .. manim:: ArcBetweenPointsExample    class ArcBetweenPointsExample(Scene):       def construct(self):           circle = Circle(radius=2, stroke_color=GREY)           dot_1 = Dot(color=GREEN).move_to([2, 0, 0]).scale(0.5)           dot_1_text = Tex(""(2,0)"").scale(0.5).next_to(dot_1, RIGHT).set_color(BLUE)           dot_2 = Dot(color=GREEN).move_to([0, 2, 0]).scale(0.5)           dot_2_text = Tex(""(0,2)"").scale(0.5).next_to(dot_2, UP).set_color(BLUE)           arc= ArcBetweenPoints(start=2 * RIGHT, end=2 * UP, stroke_color=YELLOW)           self.add(circle, dot_1, dot_2, dot_1_text, dot_2_text)           self.play(Create(arc))"
